player_name,season,player_dob,dob_display,forename,surname,pl_index
Kenny Beamish,1969/70,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1970/71,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1971/72,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1979/80,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Kenny Beamish,1980/81,1947-08-25,,Kenny,Beamish,"Beamish, Kenny"
Fred Bedford,1927/28,1902-06-25,,Fred,Bedford,"Bedford, Fred"
Jean Belehouan,2023/24,2000-09-01,,Jean,Belehouan,"Belehouan, Jean"
Bunny Bell,1930/31,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Bunny Bell,1931/32,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Bunny Bell,1932/33,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Bunny Bell,1933/34,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Bunny Bell,1934/35,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Bunny Bell,1935/36,1911-04-10,,Bunny,Bell,"Bell, Bunny"
Graham Bell,1986/87,1955-03-30,,Graham,Bell,"Bell, Graham"
Harold Bell,1945/46,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1946/47,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1947/48,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1948/49,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1949/50,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1950/51,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1951/52,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1952/53,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1953/54,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1954/55,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1955/56,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1956/57,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1957/58,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1958/59,1924-11-22,,Harold,Bell,"Bell, Harold"
Harold Bell,1959/60,1924-11-22,,Harold,Bell,"Bell, Harold"
Abdulai Bell-Baggie,2012/13,1992-04-28,,Abdulai,Bell-Baggie,"Bell-Baggie, Abdulai"
Abdulai Bell-Baggie,2013/14,1992-04-28,,Abdulai,Bell-Baggie,"Bell-Baggie, Abdulai"
Abdulai Bell-Baggie,2014/15,1992-04-28,,Abdulai,Bell-Baggie,"Bell-Baggie, Abdulai"
Gary Bennett,1995/96,1963-09-20,,Gary,Bennett,"Bennett, Gary"
David Beresford,2003/04,1976-11-11,,David,Beresford,"Beresford, David"
David Beresford,2004/05,1976-11-11,,David,Beresford,"Beresford, David"
John Best,1960/61,1940-07-11,,John,Best,"Best, John"
Sammy Beswick,1922/23,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Sammy Beswick,1923/24,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Sammy Beswick,1925/26,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Sammy Beswick,1926/27,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Sammy Beswick,1927/28,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Sammy Beswick,1928/29,1903-03-08,,Sammy,Beswick,"Beswick, Sammy"
Harry Bevan,1927/28,1906-02-23,,Harry,Bevan,"Bevan, Harry"
Stan Billington,1960/61,1937-02-23,,Stan,Billington,"Billington, Stan"
Stan Billington,1961/62,1937-02-23,,Stan,Billington,"Billington, Stan"
Stan Billington,1962/63,1937-02-23,,Stan,Billington,"Billington, Stan"
Stan Billington,1963/64,1937-02-23,,Stan,Billington,"Billington, Stan"
Charles Birmingham,1946/47,1922-08-24,,Charles,Birmingham,"Birmingham, Charles"
Danny Birtles,1924/25,1904-02-24,,Danny,Birtles,"Birtles, Danny"
Eddie Bishop,1987/88,1962-11-28,,Eddie,Bishop,"Bishop, Eddie"
Eddie Bishop,1988/89,1962-11-28,,Eddie,Bishop,"Bishop, Eddie"
Eddie Bishop,1989/90,1962-11-28,,Eddie,Bishop,"Bishop, Eddie"
Eddie Bishop,1990/91,1962-11-28,,Eddie,Bishop,"Bishop, Eddie"
Michael Black,1999/00,1976-10-06,,Michael,Black,"Black, Michael"
Paul Black,2012/13,1990-01-18,,Paul,Black,"Black, Paul"
Billy Blacker,2025/26,2006-05-25,,Billy,Blacker,"Blacker, Billy"
Corey Blackett-Taylor,2019/20,1997-09-23,,Corey,Blackett-Taylor,"Blackett-Taylor, Corey"
Corey Blackett-Taylor,2020/21,1997-09-23,,Corey,Blackett-Taylor,"Blackett-Taylor, Corey"
Joe Blackham,2019/20,2001-09-10,,Joe,Blackham,"Blackham, Joe"
Maxime Blanchard,2010/11,1986-09-27,,Maxime,Blanchard,"Blanchard, Maxime"
Nathan Blissett,2015/16,1990-06-29,,Nathan,Blissett,"Blissett, Nathan"
Alan Blundell,1965/66,1947-08-18,,Alan,Blundell,"Blundell, Alan"
Alan Blundell,1966/67,1947-08-18,,Alan,Blundell,"Blundell, Alan"
Ivano Bonetti,1996/97,1964-08-01,,Ivano,Bonetti,"Bonetti, Ivano"
Cameron Borthwick-Jackson,2019/20,1997-02-02,,Cameron,Borthwick-Jackson,"Borthwick-Jackson, Cameron"
William Bowen,1929/30,1909-03-16,,William,Bowen,"Bowen, William"
Ken Bracewell,1959/60,1936-10-05,,Ken,Bracewell,"Bracewell, Ken"
Ken Bracewell,1960/61,1936-10-05,,Ken,Bracewell,"Bracewell, Ken"
George Bradshaw,1935/36,1904-03-12,,George,Bradshaw,"Bradshaw, George"
Harry Bradshaw,1921/22,1895-01-22,,Harry,Bradshaw,"Bradshaw, Harry"
Harry Bradshaw,1922/23,1895-01-22,,Harry,Bradshaw,"Bradshaw, Harry"
Zak Bradshaw,2024/25,2003-09-22,,Zak,Bradshaw,"Bradshaw, Zak"
John Bramhall,1976/77,1956-11-20,,John,Bramhall,"Bramhall, John"
John Bramhall,1977/78,1956-11-20,,John,Bramhall,"Bramhall, John"
John Bramhall,1978/79,1956-11-20,,John,Bramhall,"Bramhall, John"
John Bramhall,1979/80,1956-11-20,,John,Bramhall,"Bramhall, John"
John Bramhall,1980/81,1956-11-20,,John,Bramhall,"Bramhall, John"
John Bramhall,1981/82,1956-11-20,,John,Bramhall,"Bramhall, John"
Graham Branch,1991/92,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1992/93,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1993/94,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1994/95,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1995/96,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1996/97,1972-02-12,,Graham,Branch,"Branch, Graham"
Graham Branch,1997/98,1972-02-12,,Graham,Branch,"Branch, Graham"
Ged Brannan,1990/91,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1991/92,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1992/93,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1993/94,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1994/95,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1995/96,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Ged Brannan,1996/97,1972-01-15,,Ged,Brannan,"Brannan, Ged"
Mike Brennan,1962/63,1941-05-06,,Mike,Brennan,"Brennan, Mike"
Peter Brezovan,2014/15,1979-12-09,,Peter,Brezovan,"Brezovan, Peter"
Harold Bridges,1945/46,1915-06-30,,Harold,Bridges,"Bridges, Harold"
Harold Bridges,1946/47,1915-06-30,,Harold,Bridges,"Bridges, Harold"
Harold Bridges,1947/48,1915-06-30,,Harold,Bridges,"Bridges, Harold"
Arthur Briggs,1924/25,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1925/26,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1926/27,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1927/28,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1928/29,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1929/30,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1930/31,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Arthur Briggs,1931/32,1900-05-27,,Arthur,Briggs,"Briggs, Arthur"
Ethan Bristow,2022/23,2001-11-27,,Ethan,Bristow,"Bristow, Ethan"
Ethan Bristow,2025/26,2001-11-27,,Ethan,Bristow,"Bristow, Ethan"
Eric Brodie,1969/70,1940-11-08,,Eric,Brodie,"Brodie, Eric"
Eric Brodie,1970/71,1940-11-08,,Eric,Brodie,"Brodie, Eric"
Eric Brodie,1971/72,1940-11-08,,Eric,Brodie,"Brodie, Eric"
Marlon Broomes,2009/10,1977-11-28,,Marlon,Broomes,"Broomes, Marlon"
Marlon Broomes,2010/11,1977-11-28,,Marlon,Broomes,"Broomes, Marlon"
Patrick Brough,2025/26,1996-02-20,,Patrick,Brough,"Brough, Patrick"
Andy Brown,1982/83,1963-08-17,,Andy,Brown,"Brown, Andy"
Dave Brown,1982/83,1963-10-21,,Dave,Brown,"Brown, Dave"
Jack Brown,1923/24,,Unknown,Jack,Brown,"Brown, Jack"
Jack Brown,1924/25,,Unknown,Jack,Brown,"Brown, Jack"
Jock Brown,1960/61,1935-04-02,,Jock,Brown,"Brown, Jock"
Jock Brown,1961/62,1935-04-02,,Jock,Brown,"Brown, Jock"
Junior Brown,2013/14,1989-05-07,,Junior,Brown,"Brown, Junior"
Kayleden Brown,2010/11,1992-04-15,,Kayleden,Brown,"Brown, Kayleden"
Owen Brown,1981/82,1960-09-04,,Owen,Brown,"Brown, Owen"
Owen Brown,1982/83,1960-09-04,,Owen,Brown,"Brown, Owen"
Owen Brown,1983/84,1960-09-04,,Owen,Brown,"Brown, Owen"
Paul Brown,2004/05,1984-09-10,,Paul,Brown,"Brown, Paul"
Paul Brown,2005/06,1984-09-10,,Paul,Brown,"Brown, Paul"
Samuel Brown,1933/34,1908-05-01,,Samuel,Brown,"Brown, Samuel"
Samuel Brown,1934/35,1908-05-01,,Samuel,Brown,"Brown, Samuel"
Alex Bruce,2005/06,1984-09-28,,Alex,Bruce,"Bruce, Alex"
Gerardo Bruna,2014/15,1991-01-29,,Gerardo,Bruna,"Bruna, Gerardo"
Ryan Brunt,2011/12,1993-05-26,,Ryan,Brunt,"Brunt, Ryan"
Tom Buchan,1923/24,,Q3 1889,Tom,Buchan,"Buchan, Tom"
David Buchanan,2011/12,1986-05-06,,David,Buchanan,"Buchanan, David"
Ted Buckley,1937/38,1912-09-13,,Ted,Buckley,"Buckley, Ted"
Ted Buckley,1938/39,1912-09-13,,Ted,Buckley,"Buckley, Ted"
Steve Bullock,1986/87,1966-10-05,,Steve,Bullock,"Bullock, Steve"
Denis Bullough,1921/22,1895-11-29,,Denis,Bullough,"Bullough, Denis"
David Burgess,1981/82,1960-01-20,,David,Burgess,"Burgess, David"
David Burgess,1982/83,1960-01-20,,David,Burgess,"Burgess, David"
David Burgess,1983/84,1960-01-20,,David,Burgess,"Burgess, David"
David Burgess,1984/85,1960-01-20,,David,Burgess,"Burgess, David"
David Burgess,1985/86,1960-01-20,,David,Burgess,"Burgess, David"
Meynell Burgin,1934/35,1911-11-29,,Meynell,Burgin,"Burgin, Meynell"
Marshall Burke,1984/85,1959-03-26,,Marshall,Burke,"Burke, Marshall"
Kinear Burns,1946/47,1923-09-24,,Kinear,Burns,"Burns, Kinear"
Robbie Burns,2008/09,1990-11-15,,Robbie,Burns,"Burns, Robbie"
Wilf Burrows,1926/27,,Q1 1902,Wilf,Burrows,"Burrows, Wilf"
Wilf Burrows,1928/29,,Q1 1902,Wilf,Burrows,"Burrows, Wilf"
Wilf Burrows,1929/30,,Q1 1902,Wilf,Burrows,"Burrows, Wilf"
Wilf Burrows,1930/31,,Q1 1902,Wilf,Burrows,"Burrows, Wilf"
Jake Burton,2019/20,2001-11-15,,Jake,Burton,"Burton, Jake"
Jake Burton,2020/21,2001-11-15,,Jake,Burton,"Burton, Jake"
Jake Burton,2021/22,2001-11-15,,Jake,Burton,"Burton, Jake"
Jake Burton,2022/23,2001-11-15,,Jake,Burton,"Burton, Jake"
Charles Butler,1936/37,1908-03-20,,Charles,Butler,"Butler, Charles"
Adam Buxton,2016/17,1992-05-12,,Adam,Buxton,"Buxton, Adam"
Adam Buxton,2017/18,1992-05-12,,Adam,Buxton,"Buxton, Adam"
Adam Buxton,2018/19,1992-05-12,,Adam,Buxton,"Buxton, Adam"
John Byrne,1961/62,1939-05-25,,John,Byrne,"Byrne, John (b.1939)"
John Byrne,1968/69,1949-03-24,,John,Byrne,"Byrne, John (b.1949)"
Neill Byrne,2022/23,1993-02-02,,Neill,Byrne,"Byrne, Neill"
Tom Byrom,1946/47,1920-03-17,,Tom,Byrom,"Byrom, Tom"
Paul Cahill,1978/79,1955-09-29,,Paul,Cahill,"Cahill, Paul"
Chris Camden,1986/87,1963-05-28,,Chris,Camden,"Camden, Chris"
Johnny Campbell,1921/22,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1922/23,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1923/24,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1924/25,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1925/26,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1927/28,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1928/29,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Johnny Campbell,1929/30,1894-10-14,,Johnny,Campbell,"Campbell, Johnny"
Les Campbell,1961/62,1935-07-26,,Les,Campbell,"Campbell, Les"
Les Campbell,1962/63,1935-07-26,,Les,Campbell,"Campbell, Les"
Les Campbell,1963/64,1935-07-26,,Les,Campbell,"Campbell, Les"
Tommy Campbell,1961/62,1935-02-20,,Tommy,Campbell,"Campbell, Tommy"
Shane Cansdell-Sherriff,2006/07,1982-11-10,,Shane,Cansdell-Sherriff,"Cansdell-Sherriff, Shane"
Shane Cansdell-Sherriff,2007/08,1982-11-10,,Shane,Cansdell-Sherriff,"Cansdell-Sherriff, Shane"
Jake Caprice,2018/19,1992-11-11,,Jake,Caprice,"Caprice, Jake"
